태풍번호,태풍명,최저 기압(hpa),최대풍속(10분 평균 m/s)
200401,수달(SUDAL),940,44
200321,루핏(LUPIT),915,51
200320,니파탁(NEPARTAK),975,31
200319,멀로(MELOR),980,28
200318,파마(PARMA),930,49
200317,켓사나(KETSANA),940,44
200316,곳푸(KOPPU),965,33
200315,초이완(CHOI-WAN),965,36
200314,매미(MAEMI),910,54
200313,두지앤(DUJUAN),950,41
200312,크로반(KROVANH),970,33
200311,밤코(VAMCO),996,18
200310,아타우(ETAU),945,41
200309,모라콧(MORAKOT),990,23
200308,고니(KONI),975,31
200307,임부도(IMBUDO),945,44
200306,소델로(SOUDELOR),955,41
200305,낭카(NANGKA),985,28
200304,린파(LINFA),980,28
200303,찬홈(CHAN-HOM),940,44
200302,구지라(KUJIRA),930,46
200301,야냔(YANYAN),1000,18
200226,봉선화(PONGSONA),940,46
200225,하이셴(HAISHEN),965,36
200224,허코(HUKO),970,33
200223,마이삭(MAYSAK),985,28
200222,바비(BAVI),985,26
200221,히고스(HIGOS),935,46
200220,멕클라(MEKKHALA),996,21
200219,장미(CHANGMI),986,21
200218,하구핏(HAGUPIT),992,18
200217,엘레(ELE),940,46
200216,신라쿠(SINLAKU),950,41
200215,루사(RUSA),985,21
200214,봉퐁(VONGFONG),940,44
200213,판폰(PHANFONE),940,44
200212,간무리(KAMMURI),980,26
200211,퐁웡(FUNG-WONG),960,36
200210,갈매기(KALMAEGI),1000,18
200209,펑셴(FENGSHEN),920,51
200208,나크리(NAKRI),985,23
200207,할롱(HALONG),945,43
200206,차타안(CHATAAN),930,49
200205,라마순(RAMMASUN),945,44
200204,너구리(NOGURI),975,31
200203,하기비스(HAGIBIS),940,46
200202,미톡(MITAG),930,50
200201,타파(TAPAH),1000,18
200126,와메이(VAMEI),1008,18
200125,파사이(FAXAI),915,53
200124,가지키(KAJIKI),996,18
200123,링링(LINGLING),940,45
200122,버들(PODUL),925,50
200121,하이옌(HAIYAN),960,35
200120,크로사(KROSA),950,40
200119,레기마(LEKIMA),960,35
200118,프란시스코(FRANCISCO),945,43
200117,비파(VIPA),975,31
200116,나리(NARI),955,44
200115,다나스(DANAS),945,43
200114,피토(FITOW),990,18
200113,서팟(SEPAT),992,21
200112,우딥(WUTIP),930,46
200111,파북(PABUK),955,38
200110,우사기(USAGI),992,18
200109,마니(MAN-YI),945,41
200108,도라지(TORAJI),960,38
200107,위투(YUTU),970,30
200106,콩레이(KONG-REY),955,38
200105,차미(TRAMI),992,21
200104,우토(UTOR),965,38
200103,투리안(DURIAN),980,26
200102,제비(CHEBI),955,38
200101,시마론(CIMARON),990,23
200023,SOULIK,955,41
200022,RUMBIA,990,21
200021,BEBINCA,980,31
200020,XANGSANE,960,39
200019,YAGI,965,36
200018,SHANSHAN,925,49
200017,SONAMU,980,28
200016,WUKONG,955,39
200015,BOPHA,988,23
200014,SAOMAI,925,49
200013,MARIA,985,21
200012,PRAPIROON,965,36
